,Clouds,Humidity,Lat,Lon,Temp,Wind
sitrah,0.0,55.0,26.15,50.62,56.71,14.99
gumdag,0.0,70.0,39.21,54.59,37.83,1.19
shimoda,75.0,81.0,34.67,138.95,40.78,17.22
gat,93.0,81.0,31.61,34.76,50.29,3.36
fort nelson,75.0,84.0,58.81,-122.7,3.2,2.24
najran,0.0,40.0,17.49,44.13,51.8,4.7
mindelo,20.0,69.0,16.89,-24.98,73.4,25.28
progreso,75.0,40.0,21.28,-89.67,88.81,6.93
batagay,0.0,70.0,67.63,134.63,-40.86,2.15
vila,75.0,93.0,42.03,-8.16,53.89,16.11
corinto,20.0,100.0,37.94,22.96,51.96,8.97
demba,93.0,76.0,-5.51,22.27,72.16,1.12
cacu,16.0,71.0,-18.56,-51.13,81.63,6.8
zhigansk,69.0,88.0,66.77,123.37,-30.64,3.71
gayeri,20.0,9.0,12.65,0.49,74.17,10.36
hovd,0.0,62.0,48.01,91.64,5.86,2.42
casma,62.0,36.0,-41.01,-73.12,76.12,3.36
saint-pierre,0.0,73.0,-21.34,55.48,70.79,5.82
moree,4.0,64.0,-29.47,149.85,75.2,14.99
nouadhibou,41.0,56.0,20.93,-17.03,69.8,14.99
sechura,40.0,90.0,-5.56,-80.82,72.61,15.43
innisfail,100.0,92.0,-17.53,146.03,76.87,3.85
pandamatenga,99.0,60.0,-18.53,25.63,74.17,5.7
warri,0.0,68.0,5.52,5.75,78.6,4.32
nongan,100.0,77.0,44.38,125.17,3.2,2.24
segou,100.0,7.0,13.43,-6.22,79.48,9.8
bud,90.0,78.0,39.45,-86.18,32.5,6.93
axim,74.0,77.0,4.87,-2.24,78.64,4.25
murgab,0.0,74.0,37.5,61.97,35.6,1.57
sisimiut,100.0,89.0,66.94,-53.67,-0.08,4.36
antalaha,74.0,79.0,-14.9,50.28,79.61,14.97
baghdad,95.0,70.0,33.34,44.4,46.4,2.24
nhulunbuy,100.0,74.0,-12.23,136.77,84.2,10.29
billings,90.0,80.0,45.78,-108.5,42.35,8.05
labelle,1.0,47.0,26.76,-81.44,72.25,8.05
kisangani,93.0,36.0,0.52,25.2,81.52,3.94
puerto del rosario,40.0,72.0,28.5,-13.86,63.59,14.99
turukhansk,100.0,91.0,65.82,87.98,10.42,15.82
bad aibling,100.0,80.0,47.86,12.01,37.65,5.82
ciudad bolivar,50.0,31.0,8.12,-63.55,93.88,7.43
fort smith,1.0,71.0,35.39,-94.4,54.88,3.36
braco do norte,100.0,72.0,-28.27,-49.17,79.14,2.37
korla,0.0,57.0,41.76,86.15,14.45,5.88
yuanping,98.0,80.0,38.72,112.76,23.05,2.13
olenegorsk,13.0,99.0,68.15,33.3,-2.74,0.87
hami,52.0,62.0,42.8,93.45,11.73,0.65
ca mau,68.0,95.0,9.18,105.15,69.48,2.51
puerto escondido,20.0,69.0,15.85,-97.07,82.4,10.29
gizo,35.0,77.0,-8.1,156.84,80.15,1.36
krasnyy chikoy,43.0,93.0,50.36,108.75,1.8,2.21
muyezerskiy,100.0,86.0,63.93,31.65,13.24,6.33
magdagachi,9.0,96.0,53.45,125.8,-12.6,3.29
henties bay,0.0,87.0,-22.12,14.28,66.0,1.99
constitucion,0.0,52.0,-35.33,-72.42,69.85,14.94
myaundzha,100.0,99.0,63.05,147.19,-15.16,2.1
goderich,98.0,83.0,43.75,-81.72,32.49,1.01
ous,100.0,93.0,60.91,61.52,-3.66,9.6
jiayuguan,44.0,59.0,39.82,98.3,16.88,4.92
sobral,92.0,87.0,-3.69,-40.35,76.93,2.51
nome,1.0,68.0,64.5,-165.41,-17.5,5.82
kempsey,9.0,95.0,-31.08,152.83,67.8,1.01
valdivia,60.0,31.0,-39.81,-73.25,78.8,8.05
weihai,100.0,89.0,37.5,122.11,39.92,6.67
altamont,75.0,80.0,42.21,-121.74,42.57,11.41
fria,70.0,67.0,10.42,-13.58,69.49,2.28
hasaki,75.0,100.0,35.73,140.83,37.04,16.11
urumqi,2.0,84.0,43.8,87.6,8.6,2.24
talara,0.0,100.0,-4.58,-81.27,62.6,12.75
seaford,20.0,93.0,50.77,0.1,43.75,14.99
buala,83.0,75.0,-8.14,159.59,81.75,2.01
berezovka,95.0,83.0,53.72,25.5,29.91,5.53
kavaratti,1.0,64.0,10.57,72.64,80.19,4.41
hambantota,5.0,100.0,6.12,81.12,69.8,2.24
saurimo,100.0,95.0,-9.66,20.39,67.39,2.91
roebourne,0.0,63.0,-20.78,117.13,83.93,9.17
khandyga,100.0,98.0,62.67,135.6,-15.79,2.28
huicungo,40.0,66.0,-7.28,-76.8,89.6,1.79
temiscaming,90.0,92.0,46.72,-79.1,25.61,11.41
tsiroanomandidy,0.0,96.0,-18.77,46.03,69.66,2.15
salamanca,75.0,87.0,40.83,-6.0,46.42,13.87
aquiraz,40.0,70.0,-3.9,-38.39,84.65,10.29
kovur,98.0,87.0,14.48,79.98,71.01,10.63
waingapu,34.0,77.0,-9.66,120.26,83.86,5.66
great yarmouth,75.0,93.0,52.61,1.73,40.6,10.29
buchanan,40.0,78.0,5.88,-10.05,82.4,5.57
longonjo,100.0,96.0,-12.91,15.25,61.92,3.56
bilma,53.0,11.0,18.69,12.92,62.67,3.83
wana,63.0,86.0,32.3,69.57,23.14,6.15
velikodvorskiy,100.0,77.0,55.25,40.67,20.73,5.53
bowen,40.0,94.0,-20.02,148.23,75.6,10.29
semey,87.0,80.0,50.41,80.23,23.47,12.17
akalgarh,100.0,92.0,29.82,75.88,53.65,4.05
manicore,40.0,56.0,-5.81,-61.3,93.2,4.7
tandil,0.0,20.0,-37.32,-59.13,82.09,3.0
sept-iles,90.0,79.0,50.2,-66.38,21.38,11.41
srednekolymsk,98.0,97.0,67.45,153.68,-25.94,4.38
bombay,0.0,69.0,19.01,72.85,77.0,4.7
vila velha,75.0,83.0,-20.33,-40.29,77.95,5.82
kalmunai,61.0,65.0,7.42,81.82,79.3,7.29
namatanai,46.0,73.0,-3.67,152.43,83.43,4.7
porto de moz,55.0,86.0,-1.75,-52.24,79.97,5.03
rafsanjan,0.0,54.0,30.41,55.99,37.85,3.74
inverell,0.0,92.0,-29.78,151.12,64.67,1.5
los llanos de aridane,75.0,63.0,28.66,-17.92,59.85,10.29
mushie,43.0,65.0,-3.02,16.9,77.72,2.84
quang ngai,98.0,89.0,15.12,108.8,71.28,13.76
beresti-sat,100.0,76.0,46.1,27.88,43.3,3.4
viru,40.0,73.0,-8.42,-78.75,77.0,12.75
puerto madero,40.0,62.0,14.72,-92.42,87.8,5.82
ust-tsilma,85.0,98.0,65.44,52.15,-16.76,2.73
cockburn town,0.0,70.0,21.46,-71.14,76.44,1.9
coahuayana,20.0,50.0,18.73,-103.68,77.0,8.81
adrar,0.0,20.0,20.5,-10.07,75.51,11.32
skibbereen,75.0,65.0,51.55,-9.27,35.6,14.99
enshi,99.0,97.0,30.3,109.48,30.45,0.74
russell,90.0,87.0,32.35,-85.2,53.11,4.7
